[Gene ID]	[source_id]	[Input Ortholog(s)]	[Ortholog Group]	[Paralog count]	[Ortholog count]	[Gene Name or Symbol]
Afu1g00500	Afu1g00500-T	YML054C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126945">OG5_126945</a>	3	201	N/A
Afu1g00510	Afu1g00510-T	YDL174C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127093">OG5_127093</a>	3	170	dld1
Afu1g00530	Afu1g00530-T	YDR248C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129347">OG5_129347</a>	1	70	N/A
Afu1g00590	Afu1g00590-T	YDR301W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129415">OG5_129415</a>	1	109	N/A
Afu1g00630	Afu1g00630-T	YOR191W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131845">OG5_131845</a>	1	78	N/A
Afu1g00640	Afu1g00640-T	YDR147W,YLR133W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127835">OG5_127835</a>	1	130	N/A
Afu1g01370	Afu1g01370-T	YIR038C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_134430">OG5_134430</a>	2	72	N/A
Afu1g01480	Afu1g01480-T	YKR093W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126717">OG5_126717</a>	3	310	N/A
Afu1g01550	Afu1g01550-T	YGL255W,YLR130C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126707">OG5_126707</a>	1	219	zrfA
Afu1g01600	Afu1g01600-T	YOR386W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127186">OG5_127186</a>	0	93	N/A
Afu1g01680	Afu1g01680-T	YHR208W,YJR148W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126731">OG5_126731</a>	2	184	N/A
Afu1g01720	Afu1g01720-T	YHR079C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128843">OG5_128843</a>	0	69	ireA
Afu1g01740	Afu1g01740-T	YIL142W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127730">OG5_127730</a>	0	84	N/A
Afu1g01770	Afu1g01770-T	YIL124W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126778">OG5_126778</a>	1	222	N/A
Afu1g01860	Afu1g01860-T	YHR140W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130179">OG5_130179</a>	0	56	N/A
Afu1g01870	Afu1g01870-T	YKR065C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_135748">OG5_135748</a>	0	61	N/A
Afu1g01950	Afu1g01950-T	YDL173W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136947">OG5_136947</a>	0	45	N/A
Afu1g01990	Afu1g01990-T	YCR072C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127223">OG5_127223</a>	0	98	rsa4
Afu1g02000	Afu1g02000-T	YFL003C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130077">OG5_130077</a>	0	101	N/A
Afu1g02010	Afu1g02010-T	YDR266C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128373">OG5_128373</a>	0	107	N/A
Afu1g02020	Afu1g02020-T	YMR233W,YOR295W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129900">OG5_129900</a>	0	88	N/A
Afu1g02030	Afu1g02030-T	YOR361C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128215">OG5_128215</a>	0	88	N/A
Afu1g02040	Afu1g02040-T	YJL079C,YKR013W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127576">OG5_127576</a>	1	133	N/A
Afu1g02050	Afu1g02050-T	YJL204C	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136374">OG5_136374</a>	0	66	N/A
Afu1g02060	Afu1g02060-T	YBR186W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128995">OG5_128995</a>	0	53	N/A
Afu1g02070	Afu1g02070-T	YOR065W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128006">OG5_128006</a>	0	84	N/A
Afu1g02110	Afu1g02110-T	YBR249C,YDR035W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129003">OG5_129003</a>	2	205	N/A
Afu1g02130	Afu1g02130-T	YLR241W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132414">OG5_132414</a>	0	93	N/A
Afu1g02140	Afu1g02140-T	YPR184W	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128837">OG5_128837</a>	0	63	N/A
