[Gene ID]	[source_id]	[Input Ortholog(s)]	[Ortholog Group]	[Paralog count]	[Ortholog count]	[Gene Name or Symbol]	
Afu1g00340	Afu1g00340-T	CNAG_00688,CNAG_03455	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129103">OG5_129103</a>	3	142	N/A	
Afu1g00440	Afu1g00440-T	CNAG_04103,CNAG_06186	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_133725">OG5_133725</a>	2	120	N/A	
Afu1g00450	Afu1g00450-T	CNAG_06190	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128970">OG5_128970</a>	1	69	N/A	
Afu1g00460	Afu1g00460-T	CNAG_05258,CNAG_06081	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126713">OG5_126713</a>	4	350	N/A	
Afu1g00480	Afu1g00480-T	CNAG_06098	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128189">OG5_128189</a>	1	87	N/A	
Afu1g00500	Afu1g00500-T	CNAG_01080,CNAG_05169	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126945">OG5_126945</a>	3	201	N/A	
Afu1g00510	Afu1g00510-T	CNAG_01485	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127093">OG5_127093</a>	3	170	dld1	
Afu1g00530	Afu1g00530-T	CNAG_03048	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129347">OG5_129347</a>	1	70	N/A	
Afu1g00590	Afu1g00590-T	CNAG_05895	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129415">OG5_129415</a>	1	109	N/A	
Afu1g00630	Afu1g00630-T	CNAG_07964	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131845">OG5_131845</a>	1	78	N/A	
Afu1g00640	Afu1g00640-T	CNAG_04408	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127835">OG5_127835</a>	1	130	N/A	
Afu1g00800	Afu1g00800-T	CNAG_00733	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_152795">OG5_152795</a>	1	41	N/A	
Afu1g01250	Afu1g01250-T	CNAG_05991	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_137393">OG5_137393</a>	1	27	sedB	
Afu1g01260	Afu1g01260-T	CNAG_05992	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_168901">OG5_168901</a>	0	13	N/A	
Afu1g01270	Afu1g01270-T	CNAG_05842	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126554">OG5_126554</a>	8	915	N/A	
Afu1g01370	Afu1g01370-T	CNAG_00921	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_134430">OG5_134430</a>	2	72	N/A	
Afu1g01550	Afu1g01550-T	CNAG_00895,CNAG_03398	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126707">OG5_126707</a>	1	219	zrfA	
Afu1g01670	Afu1g01670-T	CNAG_06169,CNAG_06360	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128603">OG5_128603</a>	5	220	N/A	
Afu1g01680	Afu1g01680-T	CNAG_06370	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126731">OG5_126731</a>	2	184	N/A	
Afu1g01690	Afu1g01690-T	CNAG_02841	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_141114">OG5_141114</a>	0	49	N/A	
Afu1g01720	Afu1g01720-T	CNAG_03670	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128843">OG5_128843</a>	0	69	ireA	
Afu1g01740	Afu1g01740-T	CNAG_00447	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127730">OG5_127730</a>	0	84	N/A	
Afu1g01750	Afu1g01750-T	CNAG_03681	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128211">OG5_128211</a>	0	84	cyp10	
Afu1g01770	Afu1g01770-T	CNAG_03555	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126778">OG5_126778</a>	1	222	N/A	
Afu1g01860	Afu1g01860-T	CNAG_03631	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130179">OG5_130179</a>	0	56	N/A	
Afu1g01870	Afu1g01870-T	CNAG_07720	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_135748">OG5_135748</a>	0	61	N/A	
Afu1g01950	Afu1g01950-T	CNAG_04760	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136947">OG5_136947</a>	0	45	N/A	
Afu1g01970	Afu1g01970-T	CNAG_00564	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_146713">OG5_146713</a>	0	64	velB	
Afu1g01990	Afu1g01990-T	CNAG_01432	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127223">OG5_127223</a>	0	98	rsa4	
Afu1g02000	Afu1g02000-T	CNAG_05201	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130077">OG5_130077</a>	0	101	N/A	
Afu1g02010	Afu1g02010-T	CNAG_03527	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128373">OG5_128373</a>	0	107	N/A	
Afu1g02020	Afu1g02020-T	CNAG_01790	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129900">OG5_129900</a>	0	88	N/A	
Afu1g02040	Afu1g02040-T	CNAG_01223	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127576">OG5_127576</a>	1	133	N/A	
Afu1g02050	Afu1g02050-T	CNAG_04341	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136374">OG5_136374</a>	0	66	N/A	
Afu1g02060	Afu1g02060-T	CNAG_02578	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128995">OG5_128995</a>	0	53	N/A	
Afu1g02070	Afu1g02070-T	CNAG_05909	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128006">OG5_128006</a>	0	84	N/A	
Afu1g02090	Afu1g02090-T	CNAG_05090	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129009">OG5_129009</a>	0	70	N/A	
Afu1g02110	Afu1g02110-T	CNAG_01400,CNAG_04951	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129003">OG5_129003</a>	2	205	N/A	
Afu1g02130	Afu1g02130-T	CNAG_00923	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132414">OG5_132414</a>	0	93	N/A	
Afu1g02140	Afu1g02140-T	CNAG_04879	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128837">OG5_128837</a>	0	63	N/A	
Afu1g02150	Afu1g02150-T	CNAG_00121,CNAG_01745	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126704">OG5_126704</a>	1	143	N/A	
Afu1g02170	Afu1g02170-T	CNAG_01343	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128011">OG5_128011</a>	0	84	N/A	
Afu1g02190	Afu1g02190-T	CNAG_02367	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126971">OG5_126971</a>	0	109	rab11	
Afu1g02210	Afu1g02210-T	CNAG_02382	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127903">OG5_127903</a>	0	80	N/A	
Afu1g02370	Afu1g02370-T	CNAG_00839,CNAG_04690	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126763">OG5_126763</a>	3	250	N/A	
Afu1g02380	Afu1g02380-T	CNAG_00840	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_163354">OG5_163354</a>	0	28	N/A	
Afu1g02390	Afu1g02390-T	CNAG_00576	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128173">OG5_128173</a>	1	80	N/A	
Afu1g02410	Afu1g02410-T	CNAG_00705	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128002">OG5_128002</a>	0	85	N/A	
Afu1g02420	Afu1g02420-T	CNAG_04368	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129490">OG5_129490</a>	0	80	N/A	
Afu1g02430	Afu1g02430-T	CNAG_04958	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127577">OG5_127577</a>	0	98	N/A	
Afu1g02460	Afu1g02460-T	CNAG_01235,CNAG_04513	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126694">OG5_126694</a>	1	173	N/A	
Afu1g02480	Afu1g02480-T	CNAG_03565,CNAG_06400	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127253">OG5_127253</a>	2	232	N/A	
Afu1g02500	Afu1g02500-T	CNAG_00310	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130120">OG5_130120</a>	0	84	N/A	
Afu1g02510	Afu1g02510-T	CNAG_02810	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129563">OG5_129563</a>	0	104	N/A	
Afu1g02540	Afu1g02540-T	CNAG_02568	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128866">OG5_128866</a>	0	123	N/A	
Afu1g02550	Afu1g02550-T	CNAG_03787	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126605">OG5_126605</a>	1	191	N/A	
Afu1g02570	Afu1g02570-T	CNAG_03563,CNAG_07400	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127227">OG5_127227</a>	1	145	N/A	
Afu1g02580	Afu1g02580-T	CNAG_03564	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126961">OG5_126961</a>	4	213	N/A	
Afu1g02590	Afu1g02590-T	CNAG_01296	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129298">OG5_129298</a>	0	86	N/A	
Afu1g02610	Afu1g02610-T	CNAG_06007	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129246">OG5_129246</a>	0	80	N/A	
Afu1g02620	Afu1g02620-T	CNAG_02190	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131764">OG5_131764</a>	0	68	N/A	
Afu1g02630	Afu1g02630-T	CNAG_04694	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128270">OG5_128270</a>	0	86	N/A	
Afu1g02640	Afu1g02640-T	CNAG_05306	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_133251">OG5_133251</a>	0	54	N/A	
Afu1g02670	Afu1g02670-T	CNAG_02094	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128966">OG5_128966</a>	0	93	N/A	
Afu1g02680	Afu1g02680-T	CNAG_05101	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127984">OG5_127984</a>	0	97	N/A	
Afu1g02760	Afu1g02760-T	CNAG_02667	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136098">OG5_136098</a>	0	68	N/A	
Afu1g02780	Afu1g02780-T	CNAG_06008	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127035">OG5_127035</a>	1	115	N/A	
Afu1g02810	Afu1g02810-T	CNAG_03604	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128679">OG5_128679</a>	0	86	N/A	
Afu1g02820	Afu1g02820-T	CNAG_03936,CNAG_03948	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127964">OG5_127964</a>	0	215	pst2	
Afu1g02830	Afu1g02830-T	CNAG_01732	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128565">OG5_128565</a>	0	70	N/A	
Afu1g02850	Afu1g02850-T	CNAG_07335	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129926">OG5_129926</a>	1	96	N/A	
Afu1g02880	Afu1g02880-T	CNAG_02295	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_133332">OG5_133332</a>	0	60	N/A	
Afu1g02890	Afu1g02890-T	CNAG_06141	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126992">OG5_126992</a>	0	65	N/A	
Afu1g02900	Afu1g02900-T	CNAG_05200	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127394">OG5_127394</a>	0	100	N/A	
Afu1g02910	Afu1g02910-T	CNAG_00359	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_144502">OG5_144502</a>	0	39	N/A	
Afu1g02920	Afu1g02920-T	CNAG_03989	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136099">OG5_136099</a>	0	90	N/A	
Afu1g02940	Afu1g02940-T	CNAG_05406	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_133758">OG5_133758</a>	0	88	N/A	
Afu1g02980	Afu1g02980-T	CNAG_01216,CNAG_02133	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127501">OG5_127501</a>	1	101	N/A	
Afu1g02985	Afu1g02985-T	CNAG_01216,CNAG_02133	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127501">OG5_127501</a>	1	101	N/A	
Afu1g03010	Afu1g03010-T	CNAG_07689	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127721">OG5_127721</a>	0	86	N/A	
Afu1g03020	Afu1g03020-T	CNAG_04574	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130672">OG5_130672</a>	0	69	N/A	
Afu1g03035	Afu1g03035-T	CNAG_03044	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132155">OG5_132155</a>	1	87	N/A	
Afu1g03040	Afu1g03040-T	CNAG_03044	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132155">OG5_132155</a>	1	87	N/A	
Afu1g03050	Afu1g03050-T	CNAG_06166	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128649">OG5_128649</a>	0	93	N/A	
Afu1g03060	Afu1g03060-T	CNAG_03900	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128870">OG5_128870</a>	0	86	N/A	
Afu1g03070	Afu1g03070-T	CNAG_05428	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128980">OG5_128980</a>	0	95	N/A	
Afu1g03080	Afu1g03080-T	CNAG_04152	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128677">OG5_128677</a>	0	86	N/A	
Afu1g03100	Afu1g03100-T	CNAG_06767	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127404">OG5_127404</a>	0	65	N/A	
Afu1g03110	Afu1g03110-T	CNAG_03221	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127199">OG5_127199</a>	0	78	N/A	
Afu1g03140	Afu1g03140-T	CNAG_01651,CNAG_04033	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126880">OG5_126880</a>	3	173	N/A	
Afu1g03150	Afu1g03150-T	CNAG_00117	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128488">OG5_128488</a>	1	96	erg24	
Afu1g03200	Afu1g03200-T	CNAG_00905,CNAG_03707,CNAG_04898	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130801">OG5_130801</a>	2	137	mfsC	
Afu1g03310	Afu1g03310-T	CNAG_00729	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127335">OG5_127335</a>	0	293	N/A	
Afu1g03390	Afu1g03390-T	CNAG_01480	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127022">OG5_127022</a>	0	94	N/A	
Afu1g03400	Afu1g03400-T	CNAG_04684	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127203">OG5_127203</a>	0	93	N/A	
Afu1g03410	Afu1g03410-T	CNAG_04742	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127945">OG5_127945</a>	0	97	N/A	
Afu1g03420	Afu1g03420-T	CNAG_00877	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129523">OG5_129523</a>	0	63	N/A	
Afu1g03430	Afu1g03430-T	CNAG_01133	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_134788">OG5_134788</a>	0	82	N/A	
Afu1g03440	Afu1g03440-T	CNAG_04795	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132652">OG5_132652</a>	0	83	N/A	
Afu1g03450	Afu1g03450-T	CNAG_05601	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128932">OG5_128932</a>	0	95	N/A	
