[Gene ID]	[source_id]	[Input Ortholog(s)]	[Ortholog Group]	[Paralog count]	[Ortholog count]	[Gene Name or Symbol]
Q0045	Q0045-t26_1	CNAG_09009	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128358">OG5_128358</a>	1	36	COX1
Q0070	Q0070-t26_1	CNAG_09009	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128358">OG5_128358</a>	1	36	AI5_ALPHA
Q0085	Q0085-t26_1	CNAG_09008	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128903">OG5_128903</a>	0	29	ATP6
Q0105	Q0105-t26_1	CNAG_09002	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128504">OG5_128504</a>	1	26	COB
Q0120	Q0120-t26_1	CNAG_09002	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128504">OG5_128504</a>	1	26	BI4
Q0130	Q0130-t26_1	CNAG_06848	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126818">OG5_126818</a>	0	58	OLI1
Q0250	Q0250-t26_1	CNAG_09012	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129173">OG5_129173</a>	0	26	COX2
Q0275	Q0275-t26_1	CNAG_09004	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128583">OG5_128583</a>	0	27	COX3
YAL002W	YAL002W-t26_1	CNAG_06675	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129612">OG5_129612</a>	0	107	VPS8
YAL003W	YAL003W-t26_1	CNAG_02714	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127390">OG5_127390</a>	0	82	EFB1
YAL005C	YAL005C-t26_1	CNAG_00334,CNAG_01727,CNAG_01750,CNAG_06443	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126588">OG5_126588</a>	6	406	SSA1
YAL010C	YAL010C-t26_1	CNAG_06345	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136573">OG5_136573</a>	0	65	MDM10
YAL012W	YAL012W-t26_1	CNAG_02686,CNAG_06448	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126775">OG5_126775</a>	1	186	CYS3
YAL014C	YAL014C-t26_1	CNAG_04270	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_135974">OG5_135974</a>	0	60	SYN8
YAL015C	YAL015C-t26_1	CNAG_03206	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126913">OG5_126913</a>	1	114	NTG1
YAL016W	YAL016W-t26_1	CNAG_07914	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127382">OG5_127382</a>	0	133	TPD3
YAL017W	YAL017W-t26_1	CNAG_01062	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131169">OG5_131169</a>	1	108	PSK1
YAL019W	YAL019W-t26_1	CNAG_05609	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129286">OG5_129286</a>	0	94	FUN30
YAL020C	YAL020C-t26_1	CNAG_04133	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_131682">OG5_131682</a>	0	61	ATS1
YAL021C	YAL021C-t26_1	CNAG_03190	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127911">OG5_127911</a>	0	99	CCR4
YAL022C	YAL022C-t26_1	CNAG_03619	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127378">OG5_127378</a>	0	78	FUN26
YAL023C	YAL023C-t26_1	CNAG_04763	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129282">OG5_129282</a>	2	72	PMT2
YAL025C	YAL025C-t26_1	CNAG_05755	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128004">OG5_128004</a>	0	84	MAK16
YAL026C	YAL026C-t26_1	CNAG_00383,CNAG_01278,CNAG_06469	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126610">OG5_126610</a>	2	481	DRS2
YAL029C	YAL029C-t26_1	CNAG_01536,CNAG_06971	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126577">OG5_126577</a>	2	597	MYO4
YAL030W	YAL030W-t26_1	CNAG_05277	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126859">OG5_126859</a>	1	101	SNC1
YAL032C	YAL032C-t26_1	CNAG_05416	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128357">OG5_128357</a>	0	82	PRP45
YAL033W	YAL033W-t26_1	CNAG_07518	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129892">OG5_129892</a>	0	77	POP5
YAL035W	YAL035W-t26_1	CNAG_03606	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127312">OG5_127312</a>	0	89	FUN12
YAL036C	YAL036C-t26_1	CNAG_01780	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127528">OG5_127528</a>	0	87	RBG1
YAL038W	YAL038W-t26_1	CNAG_01820	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126685">OG5_126685</a>	1	200	CDC19
YAL039C	YAL039C-t26_1	CNAG_00022,CNAG_05875	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127581">OG5_127581</a>	1	147	CYC3
YAL041W	YAL041W-t26_1	CNAG_04243	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136809">OG5_136809</a>	0	72	CDC24
YAL042W	YAL042W-t26_1	CNAG_01637	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127803">OG5_127803</a>	0	147	ERV46
YAL043C	YAL043C-t26_1	CNAG_05787	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129587">OG5_129587</a>	0	85	PTA1
YAL044C	YAL044C-t26_1	CNAG_06316	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127169">OG5_127169</a>	0	85	GCV3
YAL044W-A	YAL044W-A-t26_1	CNAG_04817	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127283">OG5_127283</a>	0	82	N/A
YAL046C	YAL046C-t26_1	CNAG_03352,CNAG_03927	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127446">OG5_127446</a>	1	129	AIM1
YAL048C	YAL048C-t26_1	CNAG_06620	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128473">OG5_128473</a>	0	93	GEM1
YAL049C	YAL049C-t26_1	CNAG_06905	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129624">OG5_129624</a>	0	177	AIM2
YAL054C	YAL054C-t26_1	CNAG_00797	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126680">OG5_126680</a>	1	217	ACS1
YAL058W	YAL058W-t26_1	CNAG_02500	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128393">OG5_128393</a>	0	88	CNE1
YAL060W	YAL060W-t26_1	CNAG_00115,CNAG_00269,CNAG_01949,CNAG_05658	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126928">OG5_126928</a>	4	172	BDH1
YAL061W	YAL061W-t26_1	CNAG_00115,CNAG_00269,CNAG_01949,CNAG_05658	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126928">OG5_126928</a>	4	172	BDH2
YAL062W	YAL062W-t26_1	CNAG_01577	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126857">OG5_126857</a>	1	83	GDH3
YAL063C	YAL063C-t26_1	CNAG_01421,CNAG_04183,CNAG_05915	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126579">OG5_126579</a>	10	355	FLO9
YAR002C-A	YAR002C-A-t26_1	CNAG_01403	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127696">OG5_127696</a>	2	86	ERP1
YAR003W	YAR003W-t26_1	CNAG_01828	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129591">OG5_129591</a>	0	85	SWD1
YAR007C	YAR007C-t26_1	CNAG_01144	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127539">OG5_127539</a>	0	112	RFA1
YAR008W	YAR008W-t26_1	CNAG_01665	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129876">OG5_129876</a>	0	71	SEN34
YAR014C	YAR014C-t26_1	CNAG_02393	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_135755">OG5_135755</a>	0	63	BUD14
YAR018C	YAR018C-t26_1	CNAG_04148	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129446">OG5_129446</a>	0	96	KIN3
YAR035W	YAR035W-t26_1	CNAG_06551	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129195">OG5_129195</a>	0	102	YAT1
YAR042W	YAR042W-t26_1	CNAG_04151	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126646">OG5_126646</a>	2	133	SWH1
YAR050W	YAR050W-t26_1	CNAG_01421,CNAG_04183,CNAG_05915	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126579">OG5_126579</a>	10	355	FLO1
YAR071W	YAR071W-t26_1	CNAG_02944,CNAG_06967	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127769">OG5_127769</a>	4	239	PHO11
YBL001C	YBL001C-t26_1	CNAG_06669	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_132149">OG5_132149</a>	0	61	ECM15
YBL002W	YBL002W-t26_1	CNAG_06746	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126572">OG5_126572</a>	1	127	HTB2
YBL003C	YBL003C-t26_1	CNAG_06747	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126570">OG5_126570</a>	1	131	HTA2
YBL004W	YBL004W-t26_1	CNAG_05571	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129896">OG5_129896</a>	0	90	UTP20
YBL007C	YBL007C-t26_1	CNAG_05734	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_136171">OG5_136171</a>	0	74	SLA1
YBL008W	YBL008W-t26_1	CNAG_04158	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_129080">OG5_129080</a>	0	95	HIR1
YBL009W	YBL009W-t26_1	CNAG_01333	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130553">OG5_130553</a>	0	58	ALK2
YBL011W	YBL011W-t26_1	CNAG_01711	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_130377">OG5_130377</a>	0	123	SCT1
YBL013W	YBL013W-t26_1	CNAG_02123	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_127793">OG5_127793</a>	0	89	FMT1
YBL016W	YBL016W-t26_1	CNAG_02511,CNAG_02531,CNAG_04514	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126781">OG5_126781</a>	2	185	FUS3
YBL017C	YBL017C-t26_1	CNAG_02223	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_128036">OG5_128036</a>	3	64	PEP1
YBL019W	YBL019W-t26_1	CNAG_04268	<a href="http://orthomcl.org/cgi-bin/OrthoMclWeb.cgi?rm=sequenceList&groupac=OG5_126768">OG5_126768</a>	0	125	APN2
