[Gene ID]	[source_id]	[Genomic Location (Gene)]	[Product Description]	
CNAG_00001	CNAG_00001-t26_1	CP003820.1:10,835..11,664(-)	hypothetical protein	
CNAG_00002	CNAG_00002-t26_1	CP003820.1:12,789..13,877(+)	hypothetical protein	
CNAG_00003	CNAG_00003-t26_1	CP003820.1:14,025..16,421(-)	drug transporter	
CNAG_00004	CNAG_00004-t26_1	CP003820.1:16,424..19,876(-)	hypothetical protein	
CNAG_00005	CNAG_00005-t26_1	CP003820.1:20,462..22,871(-)	TPR repeat-containing protein	
CNAG_00006	CNAG_00006-t26_1	CP003820.1:24,546..26,154(-)	prohibitin-2	
CNAG_00007	CNAG_00007-t26_1	CP003820.1:26,281..28,570(+)	methionine-tRNA ligase	
CNAG_00008	CNAG_00008-t26_1	CP003820.1:28,550..32,907(-)	hypothetical protein	
CNAG_00009	CNAG_00009-t26_1	CP003820.1:33,099..34,872(+)	calcium-binding protein	
CNAG_00010	CNAG_00010-t26_1	CP003820.1:35,760..39,836(-)	cation transporter	
CNAG_00011	CNAG_00011-t26_1	CP003820.1:40,233..42,271(+)	hypothetical protein	
CNAG_00012	CNAG_00012-t26_1	CP003820.1:43,265..44,924(+)	hypothetical protein	
CNAG_00013	CNAG_00013-t26_1	CP003820.1:44,568..47,214(-)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00013	CNAG_00013-t26_2	CP003820.1:44,568..47,214(-)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00013	CNAG_00013-t26_3	CP003820.1:44,568..47,214(-)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00014	CNAG_00014-t26_1	CP003820.1:46,698..49,627(+)	hypothetical protein	
CNAG_00015	CNAG_00015-t26_1	CP003820.1:50,140..51,491(+)	hypothetical protein	
CNAG_00016	CNAG_00016-t26_1	CP003820.1:53,261..54,588(+)	U6 snRNA-associated Sm-like protein LSm5	
CNAG_00017	CNAG_00017-t26_1	CP003820.1:54,509..57,772(-)	hypothetical protein	
CNAG_00018	CNAG_00018-t26_1	CP003820.1:59,175..62,003(+)	hypothetical protein	
CNAG_00019	CNAG_00019-t26_1	CP003820.1:61,893..62,653(-)	mitochondrial import inner membrane translocase subunit TIM9	
CNAG_00020	CNAG_00020-t26_1	CP003820.1:62,576..66,485(+)	hypothetical protein	
CNAG_00021	CNAG_00021-t26_1	CP003820.1:66,591..68,644(-)	S-adenosylmethionine decarboxylase proenzyme	
CNAG_00022	CNAG_00022-t26_1	CP003820.1:68,921..70,167(-)	cytochrome c heme-lyase	
CNAG_00023	CNAG_00023-t26_1	CP003820.1:70,281..71,992(-)	hypothetical protein	
CNAG_00024	CNAG_00024-t26_1	CP003820.1:73,454..77,666(+)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00024	CNAG_00024-t26_2	CP003820.1:73,454..77,666(+)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00024	CNAG_00024-t26_3	CP003820.1:73,454..77,666(+)	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00025	CNAG_00025-t26_1	CP003820.1:77,175..80,898(-)	vacuolar calcium exchanger	
CNAG_00025	CNAG_00025-t26_2	CP003820.1:77,175..80,898(-)	vacuolar calcium exchanger	
CNAG_00026	CNAG_00026-t26_1	CP003820.1:81,222..83,331(-)	kynurenine aminotransferase, kynurenine aminotransferase, variant	
CNAG_00026	CNAG_00026-t26_2	CP003820.1:81,222..83,331(-)	kynurenine aminotransferase, kynurenine aminotransferase, variant	
CNAG_00027	CNAG_00027-t26_1	CP003820.1:83,936..87,837(+)	transcriptional activator	
CNAG_00028	CNAG_00028-t26_1	CP003820.1:87,681..90,146(-)	high-affinity nicotinic acid transporter, high-affinity nicotinic acid transporter, variant	
CNAG_00028	CNAG_00028-t26_2	CP003820.1:87,681..90,146(-)	high-affinity nicotinic acid transporter, high-affinity nicotinic acid transporter, variant	
CNAG_00029	CNAG_00029-t26_1	CP003820.1:90,366..91,873(+)	D-3-phosphoglycerate dehydrogenase	
CNAG_00030	CNAG_00030-t26_1	CP003820.1:92,043..93,466(+)	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant	
CNAG_00030	CNAG_00030-t26_2	CP003820.1:92,043..93,466(+)	D-3-phosphoglycerate dehydrogenase, D-3-phosphoglycerate dehydrogenase, variant	
