[Gene ID]	[Organism]	[Genomic Location]	[Product Description]	
CNAG_00001	C. neoformans var. grubii H99	CneoH99_Chr01: 11,060 - 11,501 (-)	conserved hypothetical protein 	
CNAG_00002	C. neoformans var. grubii H99	CneoH99_Chr01: 13,248 - 13,578 (+)	predicted protein 	
CNAG_00003	C. neoformans var. grubii H99	CneoH99_Chr01: 14,115 - 16,370 (-)	drug transporter 	
CNAG_00004	C. neoformans var. grubii H99	CneoH99_Chr01: 16,736 - 19,388 (-)	predicted protein 	
CNAG_00005	C. neoformans var. grubii H99	CneoH99_Chr01: 20,906 - 22,642 (-)	TPR domain-containing protein 	
CNAG_00006	C. neoformans var. grubii H99	CneoH99_Chr01: 24,790 - 26,105 (-)	prohibitin Phb2 	
CNAG_00007	C. neoformans var. grubii H99	CneoH99_Chr01: 26,295 - 28,487 (+)	methionine-tRNA ligase 	
CNAG_00008	C. neoformans var. grubii H99	CneoH99_Chr01: 28,619 - 32,831 (-)	conserved hypothetical protein 	
CNAG_00009	C. neoformans var. grubii H99	CneoH99_Chr01: 33,159 - 34,577 (+)	calcium-binding protein 	
CNAG_00010	C. neoformans var. grubii H99	CneoH99_Chr01: 36,020 - 39,419 (-)	cation transporter 	
CNAG_00011	C. neoformans var. grubii H99	CneoH99_Chr01: 40,321 - 42,079 (+)	conserved hypothetical protein 	
CNAG_00012	C. neoformans var. grubii H99	CneoH99_Chr01: 43,365 - 44,818 (+)	conserved hypothetical protein 	
CNAG_00013	C. neoformans var. grubii H99	CneoH99_Chr01: 45,340 - 46,007 (-)	predicted protein 	
CNAG_00014	C. neoformans var. grubii H99	CneoH99_Chr01: 47,596 - 48,841 (+)	conserved hypothetical protein 	
CNAG_00015	C. neoformans var. grubii H99	CneoH99_Chr01: 50,476 - 51,193 (+)	conserved hypothetical protein 	
CNAG_00016	C. neoformans var. grubii H99	CneoH99_Chr01: 53,388 - 53,626 (+)	conserved hypothetical protein 	
CNAG_00017	C. neoformans var. grubii H99	CneoH99_Chr01: 54,702 - 57,360 (-)	conserved hypothetical protein 	
CNAG_00018	C. neoformans var. grubii H99	CneoH99_Chr01: 59,229 - 61,865 (+)	conserved hypothetical protein 	
CNAG_00019	C. neoformans var. grubii H99	CneoH99_Chr01: 61,909 - 62,415 (-)	chaperone 	
CNAG_00020	C. neoformans var. grubii H99	CneoH99_Chr01: 62,588 - 66,273 (+)	conserved hypothetical protein 	
CNAG_00021	C. neoformans var. grubii H99	CneoH99_Chr01: 66,948 - 68,523 (-)	adenosylmethionine decarboxylase 	
CNAG_00022	C. neoformans var. grubii H99	CneoH99_Chr01: 68,924 - 70,126 (-)	holocytochrome-c synthase 	
CNAG_00023	C. neoformans var. grubii H99	CneoH99_Chr01: 70,438 - 71,659 (-)	conserved hypothetical protein 	
CNAG_00024	C. neoformans var. grubii H99	CneoH99_Chr01: 73,543 - 76,952 (+)	conserved hypothetical protein 	
CNAG_00025	C. neoformans var. grubii H99	CneoH99_Chr01: 78,182 - 80,580 (-)	calcium ion transporter 	
CNAG_00026	C. neoformans var. grubii H99	CneoH99_Chr01: 81,235 - 82,893 (-)	aminotransferase 	
CNAG_00027	C. neoformans var. grubii H99	CneoH99_Chr01: 84,072 - 86,463 (+)	transcriptional activator 	
CNAG_00028	C. neoformans var. grubii H99	CneoH99_Chr01: 87,815 - 89,843 (-)	high-affinity nicotinic acid transporter 	
CNAG_00029	C. neoformans var. grubii H99	CneoH99_Chr01: 90,490 - 91,786 (+)	D-3-phosphoglycerate dehydrogenase 	
CNAG_00030	C. neoformans var. grubii H99	CneoH99_Chr01: 92,137 - 93,365 (+)	D-3-phosphoglycerate dehydrogenase 	
CNAG_00031	C. neoformans var. grubii H99	CneoH99_Chr01: 93,798 - 96,545 (-)	conserved hypothetical protein 	
CNAG_00032	C. neoformans var. grubii H99	CneoH99_Chr01: 96,969 - 97,867 (+)	aldolase 	
CNAG_00033	C. neoformans var. grubii H99	CneoH99_Chr01: 99,045 - 99,578 (-)	predicted protein 	
CNAG_00034	C. neoformans var. grubii H99	CneoH99_Chr01: 101,235 - 102,342 (+)	60s ribosomal protein l9 	
CNAG_00035	C. neoformans var. grubii H99	CneoH99_Chr01: 106,378 - 108,225 (+)	conserved hypothetical protein 	
CNAG_00036	C. neoformans var. grubii H99	CneoH99_Chr01: 108,971 - 110,289 (-)	Sec14 cytosolic factor 	
CNAG_00038	C. neoformans var. grubii H99	CneoH99_Chr01: 114,073 - 115,545 (-)	alcohol dehydrogenase 	
CNAG_00039	C. neoformans var. grubii H99	CneoH99_Chr01: 120,599 - 123,282 (+)	conserved hypothetical protein 	
CNAG_00040	C. neoformans var. grubii H99	CneoH99_Chr01: 123,979 - 126,388 (+)	lanosterol 14 alpha-demethylase 	
CNAG_00043	C. neoformans var. grubii H99	CneoH99_Chr01: 130,356 - 132,334 (-)	conserved hypothetical protein 	
CNAG_00044	C. neoformans var. grubii H99	CneoH99_Chr01: 132,596 - 136,282 (+)	translation elongation factor 2 	
CNAG_00045	C. neoformans var. grubii H99	CneoH99_Chr01: 136,430 - 137,824 (-)	conserved hypothetical protein 	
CNAG_00046	C. neoformans var. grubii H99	CneoH99_Chr01: 138,070 - 139,550 (+)	proteasome regulatory subunit 12 	
CNAG_00047	C. neoformans var. grubii H99	CneoH99_Chr01: 139,536 - 141,787 (-)	kinase 	
CNAG_00048	C. neoformans var. grubii H99	CneoH99_Chr01: 142,313 - 144,363 (-)	sugar transporter 	
CNAG_00049	C. neoformans var. grubii H99	CneoH99_Chr01: 145,392 - 146,712 (+)	conserved hypothetical protein 	
CNAG_00050	C. neoformans var. grubii H99	CneoH99_Chr01: 146,828 - 147,999 (-)	conserved hypothetical protein 	
CNAG_00051	C. neoformans var. grubii H99	CneoH99_Chr01: 148,481 - 153,700 (-)	conserved hypothetical protein 	
CNAG_00052	C. neoformans var. grubii H99	CneoH99_Chr01: 154,389 - 154,832 (+)	conserved hypothetical protein 	
CNAG_00053	C. neoformans var. grubii H99	CneoH99_Chr01: 155,313 - 155,840 (+)	conserved hypothetical protein 	
CNAG_00054	C. neoformans var. grubii H99	CneoH99_Chr01: 156,291 - 157,146 (-)	DUF1264 domain-containing protein 	
CNAG_00055	C. neoformans var. grubii H99	CneoH99_Chr01: 157,491 - 158,796 (+)	conserved hypothetical protein 	
CNAG_00056	C. neoformans var. grubii H99	CneoH99_Chr01: 159,083 - 161,332 (+)	conserved hypothetical protein 	
CNAG_00057	C. neoformans var. grubii H99	CneoH99_Chr01: 161,637 - 163,184 (-)	fructose-bisphosphatase 	
CNAG_00058	C. neoformans var. grubii H99	CneoH99_Chr01: 163,462 - 166,147 (-)	T-complex protein 1 epsilon subunit 	
