[Gene ID]	[source_id]	[Genomic Location (Gene)]	[Product Description]	
ETS1-1	ETS1-1-t26_1	BK006945:457,733..458,432(-)	ETS1-1	
ETS1-2	ETS1-2-t26_1	BK006945:466,870..467,569(-)	ETS1-2	
ETS2-1	ETS2-1-t26_1	BK006945:451,575..451,785(-)	ETS2-1	
ETS2-2	ETS2-2-t26_1	BK006945:460,712..460,922(-)	ETS2-2	
HRA1	HRA1-t26_1	BK006935:99,305..99,868(+)	HRA1	
ICR1	ICR1-t26_1	BK006942:393,884..397,082(-)	ICR1	
IRT1	IRT1-t26_1	BK006943:605,936..607,424(-)	IRT1	
ITS1-1	ITS1-1-t26_1	BK006945:455,572..455,932(-)	ITS1-1	
ITS1-2	ITS1-2-t26_1	BK006945:464,709..465,069(-)	ITS1-2	
ITS2-1	ITS2-1-t26_1	BK006945:455,182..455,413(-)	ITS2-1	
ITS2-2	ITS2-2-t26_1	BK006945:464,319..464,550(-)	ITS2-2	
LSR1	LSR1-t26_1	BK006936:680,688..681,862(-)	LSR1	
NME1	NME1-t26_1	BK006947:585,587..585,926(+)	NME1	
PWR1	PWR1-t26_1	BK006942:395,999..396,939(+)	PWR1	
Q0020	Q0020-t26_1	KP263414:6,546..8,194(+)	15S ribosomal RNA	
Q0045	Q0045-t26_1	KP263414:13,818..26,701(+)	cytochrome c oxidase subunit 1	
Q0050	Q0050-t26_1	KP263414:13,818..16,322(+)	intron-encoded reverse transcriptase aI1	
Q0055	Q0055-t26_1	KP263414:13,818..18,830(+)	intron-encoded reverse transcriptase aI2	
Q0060	Q0060-t26_1	KP263414:13,818..19,996(+)	intron-encoded DNA endonuclease aI3	
Q0065	Q0065-t26_1	KP263414:13,818..21,935(+)	intron-encoded DNA endonuclease aI4	
Q0070	Q0070-t26_1	KP263414:13,818..23,167(+)	intron-encoded DNA endonuclease aI5 alpha	
Q0075	Q0075-t26_1	KP263414:24,156..25,255(+)	intron-encoded DNA endonuclease aI5 beta	
Q0080	Q0080-t26_1	KP263414:27,666..27,812(+)	F1F0 ATP synthase subunit 8	
Q0085	Q0085-t26_1	KP263414:28,487..29,266(+)	F1F0 ATP synthase subunit a	
Q0105	Q0105-t26_1	KP263414:36,540..43,647(+)	cytochrome b	
Q0110	Q0110-t26_1	KP263414:36,540..38,579(+)	cytochrome b mRNA maturase bI2	
Q0115	Q0115-t26_1	KP263414:36,540..40,265(+)	cytochrome b mRNA maturase bI3	
Q0120	Q0120-t26_1	KP263414:36,540..42,251(+)	intron-encoded RNA maturase bI4	
Q0130	Q0130-t26_1	KP263414:46,723..46,953(+)	F0 ATP synthase subunit c	
Q0140	Q0140-t26_1	KP263414:48,901..50,097(+)	mitochondrial 37S ribosomal protein VAR1	
Q0158	Q0158-t26_1	KP263414:58,009..62,447(+)	21S ribosomal RNA	
Q0160	Q0160-t26_1	KP263414:61,022..61,729(+)	intron-encoded endonuclease I-SceI	
Q0250	Q0250-t26_1	KP263414:73,758..74,513(+)	cytochrome c oxidase subunit 2	
Q0255	Q0255-t26_1	KP263414:74,495..75,984(+)	maturase-like protein	
Q0275	Q0275-t26_1	KP263414:79,213..80,022(+)	cytochrome c oxidase subunit 3	
Q0285	Q0285-t26_1	KP263414:85,295..85,777(+)	RPM1	
RDN18-1	RDN18-1-t26_1	BK006945:455,933..457,732(-)	RDN18-1	
RDN18-2	RDN18-2-t26_1	BK006945:465,070..466,869(-)	RDN18-2	
RDN25-1	RDN25-1-t26_1	BK006945:451,786..455,181(-)	RDN25-1	
RDN25-2	RDN25-2-t26_1	BK006945:460,923..464,318(-)	RDN25-2	
RDN37-1	RDN37-1-t26_1	BK006945:451,575..458,432(-)	RDN37-1	
RDN37-2	RDN37-2-t26_1	BK006945:460,712..467,569(-)	RDN37-2	
RDN5-1	RDN5-1-t26_1	BK006945:459,676..459,796(+)	RDN5-1	
RDN5-2	RDN5-2-t26_1	BK006945:468,813..468,931(+)	RDN5-2	
RDN5-3	RDN5-3-t26_1	BK006945:472,465..472,583(+)	RDN5-3	
RDN5-4	RDN5-4-t26_1	BK006945:482,045..482,163(+)	RDN5-4	
RDN5-5	RDN5-5-t26_1	BK006945:485,697..485,815(+)	RDN5-5	
RDN5-6	RDN5-6-t26_1	BK006945:489,349..489,469(+)	RDN5-6	
RDN58-1	RDN58-1-t26_1	BK006945:455,414..455,571(-)	RDN58-1	
RDN58-2	RDN58-2-t26_1	BK006945:464,551..464,708(-)	RDN58-2	
RME2	RME2-t26_1	BK006941:141,898..144,120(-)	RME2	
RME3	RME3-t26_1	BK006941:33,109..35,013(-)	RME3	
RNA170	RNA170-t26_1	BK006946:667,288..667,456(-)	RNA170	
RPR1	RPR1-t26_1	BK006939:117,667..118,035(-)	RPR1	
RUF20	RUF20-t26_1	BK006940:131,061..131,503(-)	RUF20	
RUF21	RUF21-t26_1	BK006940:57,815..58,521(-)	RUF21	
RUF22	RUF22-t26_1	BK006940:199,299..199,813(-)	RUF22	
RUF23	RUF23-t26_1	BK006940:221,714..221,967(+)	RUF23	
RUF5-1	RUF5-1-t26_1	BK006934:212,409..213,118(+)	RUF5-1	
RUF5-2	RUF5-2-t26_1	BK006934:214,407..215,116(+)	RUF5-2	
SCR1	SCR1-t26_1	BK006939:441,987..442,508(+)	SCR1	
SRG1	SRG1-t26_1	BK006939:322,212..322,762(+)	SRG1	
TLC1	TLC1-t26_1	BK006936:307,587..308,887(+)	TLC1	
YAL001C	YAL001C-t26_1	BK006935:147,594..151,166(-)	transcription factor TFIIIC subunit TFC3	
YAL002W	YAL002W-t26_1	BK006935:143,707..147,531(+)	CORVET complex membrane-binding subunit VPS8	
YAL003W	YAL003W-t26_1	BK006935:142,174..143,160(+)	translation elongation factor 1 subunit beta	
YAL005C	YAL005C-t26_1	BK006935:139,503..141,431(-)	Hsp70 family ATPase SSA1	
YAL007C	YAL007C-t26_1	BK006935:137,698..138,345(-)	Erp2p	
YAL008W	YAL008W-t26_1	BK006935:136,914..137,510(+)	Fun14p	
YAL009W	YAL009W-t26_1	BK006935:135,854..136,633(+)	Nem1-Spo7 phosphatase regulatory subunit SPO7	
YAL010C	YAL010C-t26_1	BK006935:134,184..135,665(-)	Mdm10p	
