ID	genbank name	AHRD name
CNAG_00001	hypothetical protein	Unknown protein
CNAG_00002	hypothetical protein	Unknown protein
CNAG_00003	drug transporter	Polyamine transporter 3
CNAG_00004	hypothetical protein	Zinc finger protein zas1
CNAG_00005	TPR repeat-containing protein	Unknown protein
CNAG_00006	prohibitin-2	Prohibitin-2
CNAG_00007	methionine-tRNA ligase	Methionine--tRNA ligase
CNAG_00008	hypothetical protein	Striatin-interacting protein 1 homolog
CNAG_00009	calcium-binding protein	Calpain-2 catalytic subunit
CNAG_00010	cation transporter	Magnesium transporter ALR2
CNAG_00011	hypothetical protein	Unknown protein
CNAG_00012	hypothetical protein	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
CNAG_00013	hypothetical protein	Unknown protein
CNAG_00014	hypothetical protein	Unknown protein
CNAG_00015	hypothetical protein	Unknown protein
CNAG_00016	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5
CNAG_00017	hypothetical protein	Forkhead box protein G1
CNAG_00018	hypothetical protein	Uncharacterized transcriptional regulatory protein C530.05
CNAG_00019	mitochondrial import inner membrane translocase subunit TIM9	Mitochondrial import inner membrane translocase subunit TIM9 Mitochondrial import inner membrane translocase subunit TIM9
CNAG_00020	hypothetical protein	Protein HID1
CNAG_00021	S-adenosylmethionine decarboxylase proenzyme	S-adenosylmethionine decarboxylase proenzyme
CNAG_00022	cytochrome c heme-lyase	Probable cytochrome c-type heme lyase
CNAG_00023	hypothetical protein	UPF0643 protein PB2B2.08
CNAG_00024	hypothetical protein	Unknown protein
CNAG_00025	calcium/proton exchanger	Vacuolar cation/proton exchanger 3
CNAG_00026	kynurenine aminotransferase	Histidinol-phosphate aminotransferase
CNAG_00027	transcriptional activator	Unknown protein
CNAG_00028	high-affinity nicotinic acid transporter	Putative tartrate transporter
CNAG_00029	D-3-phosphoglycerate dehydrogenase	Glyoxylate/hydroxypyruvate reductase B
CNAG_00030	D-3-phosphoglycerate dehydrogenase	Lactonase drp35
CNAG_00031	hypothetical protein	Uncharacterized transcriptional regulatory protein C1773.12
CNAG_00032	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2-keto-3-deoxy-L-rhamnonate aldolase
CNAG_00033	hypothetical protein	Unknown protein
CNAG_00034	large subunit ribosomal protein L9e	50S ribosomal protein L6
CNAG_00035	hypothetical protein	Unknown protein
CNAG_00036	Sec14 cytosolic factor	SEC14-like protein 3
CNAG_00038	alcohol dehydrogenase	L-threonine 3-dehydrogenase
CNAG_00039	hypothetical protein	Zinc finger protein 845
CNAG_00040	cytochrome P450, family 51 (sterol 14-demethylase)	Cytochrome P450 10
CNAG_00043	hypothetical protein	Unknown protein
CNAG_00044	ribosome assembly protein 1	Elongation factor 2
CNAG_00045	hypothetical protein	Unknown protein
CNAG_00046	26S proteasome regulatory subunit N8	Eukaryotic translation initiation factor 3 subunit F-1
CNAG_00047	pyruvate dehydrogenase kinase	[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3, mitochondrial
CNAG_00048	sugar transporter	Hexose transporter 2
CNAG_00049	hypothetical protein	Unknown protein
CNAG_00050	hypothetical protein	Unknown protein
CNAG_00051	hypothetical protein	Nuclear receptor corepressor 1
CNAG_00052	hypothetical protein	Unknown protein
CNAG_00053	hypothetical protein	Unknown protein
CNAG_00054	hypothetical protein	Unknown protein
CNAG_00055	hypothetical protein	Unknown protein
CNAG_00056	hypothetical protein	Trafficking protein particle complex subunit 13
CNAG_00057	fructose-1,6-bisphosphatase I	Fructose-1,6-bisphosphatase class 1
CNAG_00058	T-complex protein 1 subunit epsilon	T-complex protein 1 subunit alpha
CNAG_00059	hypothetical protein	Unknown protein
CNAG_00060	chaperone regulator	Chaperone protein DnaJ Chaperone protein DnaJ Chaperone protein DnaJ
